Date,Close
2/1/2022 23:58:00,4.05455
2/2/2022 23:58:00,4.019206
2/3/2022 23:58:00,3.971248
2/4/2022 23:58:00,3.9874
2/5/2022 23:58:00,3.9874
2/6/2022 23:58:00,3.981884
2/7/2022 23:58:00,3.96394
2/8/2022 23:58:00,3.96591
2/9/2022 23:58:00,3.93555
2/10/2022 23:58:00,3.945593
2/11/2022 23:58:00,4.026987
2/12/2022 23:58:00,4.028948
2/13/2022 23:58:00,4.018344
2/14/2022 23:58:00,4.02899
2/15/2022 23:58:00,3.960608
2/16/2022 23:58:00,3.95925
2/17/2022 23:58:00,3.980187
2/18/2022 23:58:00,4.000578
2/19/2022 23:58:00,4.000578
2/20/2022 23:58:00,4.001545
2/21/2022 23:58:00,4.019227
2/22/2022 23:58:00,4.014212
2/23/2022 23:58:00,4.058747
2/24/2022 23:58:00,4.14045
2/25/2022 23:58:00,4.113846
2/26/2022 23:58:00,4.110231
2/27/2022 23:58:00,4.20367
2/28/2022 23:58:00,4.186494
3/1/2022 23:58:00,4.25836
3/2/2022 23:58:00,4.269664
3/3/2022 23:58:00,4.350328
3/4/2022 23:58:00,4.490601
3/5/2022 23:58:00,4.483221
3/6/2022 23:58:00,4.544395
3/7/2022 23:58:00,4.58695
3/8/2022 23:58:00,4.476194
3/9/2022 23:58:00,4.31052
3/10/2022 23:58:00,4.346095
3/11/2022 23:58:00,4.38645
3/12/2022 23:58:00,4.38645
3/13/2022 23:58:00,4.377244
3/14/2022 23:58:00,4.327286
3/15/2022 23:58:00,4.293435
3/16/2022 23:58:00,4.233168
3/17/2022 23:58:00,4.21615
3/18/2022 23:58:00,4.26697
3/19/2022 23:58:00,4.26697
3/20/2022 23:58:00,4.270036
3/21/2022 23:58:00,4.261675
3/22/2022 23:58:00,4.242015
3/23/2022 23:58:00,4.29595
3/24/2022 23:58:00,4.334873
3/25/2022 23:58:00,4.26065
3/26/2022 23:58:00,4.261398
3/27/2022 23:58:00,4.268465
3/28/2022 23:58:00,4.27093
3/29/2022 23:58:00,4.199916
3/30/2022 23:58:00,4.160182
3/31/2022 23:58:00,4.193037
4/1/2022 23:58:00,4.19847
4/2/2022 23:58:00,4.199638
4/3/2022 23:58:00,4.20395
4/4/2022 23:58:00,4.209812
4/5/2022 23:58:00,4.257386
4/6/2022 23:58:00,4.27414
4/7/2022 23:58:00,4.267235
4/8/2022 23:58:00,4.260724
4/9/2022 23:58:00,4.260724
4/10/2022 23:58:00,4.261608
4/11/2022 23:58:00,4.286942
4/12/2022 23:58:00,4.282268
4/13/2022 23:58:00,4.259009
4/14/2022 23:58:00,4.28885
4/15/2022 23:58:00,4.282676
4/16/2022 23:58:00,4.282676
4/17/2022 23:58:00,4.281815
4/18/2022 23:58:00,4.28749
4/19/2022 23:58:00,4.303089
4/20/2022 23:58:00,4.27715
4/21/2022 23:58:00,4.28175
4/22/2022 23:58:00,4.310144
4/23/2022 23:58:00,4.309394
4/24/2022 23:58:00,4.297112
